"Date","Amount","Star","Empty","Description"
"07/31/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/31/2020","-15.00","*","","PURCHASE AUTHORIZED ON 07/31 ALLPHIN JEWELERS SAN LEANDRO CA P00300213800422913 CARD XXXX"
"07/31/2020","-8.09","*","","PURCHASE AUTHORIZED ON 07/29 JACK IN THE BOX 04 SAN LEANDRO CA S580212165495850 CARD XXXX"
"07/31/2020","-15.00","*","","PURCHASE AUTHORIZED ON 07/29 STARBUCKS 800-782-7282 WA SXXXXXXXXXXXXXXX CARD XXXX"
"07/30/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/30/2020","-11.99","*","","PURCHASE AUTHORIZED ON 07/30 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/30/2020","-13.37","*","","PURCHASE AUTHORIZED ON 07/29 TARGET 0001 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/30/2020","-9.82","*","","PURCHASE AUTHORIZED ON 07/28 AMZN Mktp US*MF4DO Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
"07/28/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/28/2020","-3.99","*","","PURCHASE AUTHORIZED ON 07/26 NINTENDO *AMERI 800-255-3700 WA SXXXXXXXXXXXXXXX CARD XXXX"
"07/28/2020","12.00","*","","VENMO CASHOUT XXXXXXXXXX A D"
"07/27/2020","0.01","*","","INTEREST PAYMENT"
"07/27/2020","-5.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/27/2020","-9.82","*","","PAYPAL INST XFER XXXXXXX ETSY.COM A D"
"07/27/2020","-28.51","*","","PURCHASE AUTHORIZED ON 07/27 PET FOOD EXPRESS 3056 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/27/2020","-5.49","*","","PURCHASE AUTHORIZED ON 07/26 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/27/2020","-7.49","*","","PURCHASE AUTHORIZED ON 07/26 SAFEWAY #0790 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/27/2020","-32.49","*","","PURCHASE AUTHORIZED ON 07/25 FATFISH SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/27/2020","-100.00","*","","ATM WITHDRAWAL AUTHORIZED ON 07/25  000XXXX ATM ID 0121B CARD XXXX"
"07/27/2020","-15.32","*","","PURCHASE AUTHORIZED ON 07/24 PELTON CAFE SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/27/2020","100.00","*","","ATM CASH DEPOSIT ON 07/25  0009576 ATM ID 0121B CARD XXXX"
"07/24/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/24/2020","-7.54","*","","PURCHASE AUTHORIZED ON 07/24 USPS PO 05685201 1319 WAS SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/23/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/23/2020","-21.00","*","","PURCHASE AUTHORIZED ON 07/23 SHELL SERVICE STATION SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/23/2020","136.65","*","","ATM CHECK DEPOSIT ON 07/23 0005714 ATM ID 0121C CARD XXXX"
"07/20/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/20/2020","-101.74","*","","IVENTAS ONLINE IAT PAYPAL 200720 XXXXXXXXXXXXX A D"
"07/20/2020","-25.50","*","","PURCHASE AUTHORIZED ON 07/18 SHELL SERVICE STATION SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/20/2020","-16.45","*","","PURCHASE AUTHORIZED ON 07/17 O'REILLY AUTO PARTS 2850 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/20/2020","102.00","*","","TRANSFER FROM D J ON 07/18 PAGO DE FIRE STICK"
"07/16/2020","-50.00","*","","ONLINE TRANSFER TO PLATINUM CARD XXXXXXXXXXXXXXXX ON 07/16/20"
"07/15/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/15/2020","-50.00","*","","PURCHASE AUTHORIZED ON 07/15 SHELL SERVICE STATION SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/14/2020","-6.40","*","","PAYPAL INST XFER 200713 UBISOFT INC A D"
"07/13/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/13/2020","-7.66","*","","PURCHASE AUTHORIZED ON 07/11 TAQUERIA LOS PERICOS # SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/10/2020","-1.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/10/2020","1.10","*","","PURCHASE RETURN AUTHORIZED ON 07/10 ROSS STORES #141 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/10/2020","-46.16","*","","PURCHASE AUTHORIZED ON 07/10 TARGET T- 15555 E 14th San Leandro CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/09/2020","-2.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/09/2020","-12.29","*","","PURCHASE AUTHORIZED ON 07/08 KAISER PHARM 132 UNION CITY CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/09/2020","-10.15","*","","PURCHASE AUTHORIZED ON 07/07 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/07/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/07/2020","-8.77","*","","PURCHASE AUTHORIZED ON 07/07 ROSS STORES #141 SAN LEANDRO CA PXXXXXXXXXXXXXXXXX CARD XXXX"
"07/07/2020","-4.15","*","","PURCHASE AUTHORIZED ON 07/06 SQ *8-TWELVE ORIEN SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/07/2020","-6.87","*","","PURCHASE AUTHORIZED ON 07/05 JACK IN THE BOX 04 SAN LEANDRO CA SXXXXXXXXXXXXXXX CARD XXXX"
"07/06/2020","-3.00","*","","SAVE AS YOU GO TRANSFER DEBIT TO XXXXXXXXXXXXXXX"
"07/06/2020","-10.96","*","","PURCHASE AUTHORIZED ON 07/05 BESTBUYCOM80622825 888-BESTBUY MN SXXXXXXXXXXXXXXX CARD XXXX"
"07/06/2020","-9.00","*","","PURCHASE AUTHORIZED ON 07/03 VENMO* Visa Direct NY SXXXXXXXXXXXXXXX CARD XXXX"
"07/06/2020","-15.28","*","","PURCHASE AUTHORIZED ON 07/03 AMZN Mktp US*MJ5O1 Amzn.com/bill WA SXXXXXXXXXXXXXXX CARD XXXX"
